value;cod
Comércio Varejista Outr Prod, em Lojas Espec;524
Comércio Varejista de Artigos Usados, em Lojas;525
Comércio Varejista Não Realizado em Lojas;526
Reparação de Objetos Pessoais e Domésticos;527
Estab Hoteleiros e Outr Tip Aloj Temporário;551
Restaurantes e Outr Estab Serviços Alimentação;552
Transporte Ferroviário Interurbano;601
Outros Transportes Terrestres;602
Transporte Dutoviário;603
Transporte Marítimo de Cabotagem e Longo Curso;611
Outros Transporte Aquaviários;612
Transporte Aéreo, Regular;621
Transporte Aéreo, Não-Regular;622
Transporte Espacial;623
Movim e Armazenam e depósitos Cargas descarga;631
Ativ Aux Transp terrestres aquaviários aéreos;632
Ativ Agências de Viagens e Organiz de Viagem;633
Ativ Relac à Organização Transporte de Cargas;634
Correio;641
Telecomunicações;642
Banco Central;651
Intermediação Monetária - Depósitos à Vista;652
Intermed Monetária - Outros Tipos de Depósitos;653
Arrendamento Mercantil;654
Outras Atividades de Concessão de Crédito;655
Outras Atividades de Intermediação Financeira;659
Seguros de Vida e Não-Vida e resseguros;661
Previdência Privada fechada e aberta;662
Planos de Saúde;663
Ativ Aux Intermediação Financeira;671
Ativ Aux Seguros e da Previdência Privada;672
Incorporação de Imóveis por Conta Própria;701
Aluguel de Imóveis;702
Atividades Imobiliárias por Conta de Terceiros;703
Condomínios Prediais;704
Aluguel de Automóveis;711
Aluguel Outr Meios Transp terr, embarc e aeron;712
Aluguel de Máquinas e Equipamentos;713
Aluguel de Objetos Pessoais e Domésticos;714
Consultoria em Sistemas de Informática;721
Desenvolvimento de Programas de Informática;722
Processamento de Dados;723
Atividades de Banco de Dados;724
Manut e Reparação Máq Escrit e de Informática;725
Outr Ativ Informática, Não Espec Anteriormente;729
Pesq e Desenvolv Ciências Físicas e Naturais;731
Pesq e Desenvolv Ciências Sociais e Humanas;732
Ativ Jurídicas, Contábeis e Assess Empresarial;741
Serv Arquit e Engenharia e Assess Técn Espec;742
Ensaios de Materiais e Prod  Análise de Qualid;743
Publicidade;744
Seleç, Agenc e Locaç Mão-de-Obra p/ Serv Temp;745
Ativ de Investigação, Vigilância e Segurança;746
Atividades de Limpeza em Prédios e Domicílios;747
Outras Ativ de Serv Prest Princip às Empresas;749
Administr de Estado e Política Econôm e Social;751
Serviços Coletivos Prestados Administr Pública;752
Seguridade Social;753
Educação Pré-Escolar e Fundamental;801
Educação Média de Form Geral, Profiss Técnica;802
Educação Superior;803
Formação Permanente e Outras Ativ de Ensino;809
Atividades de Atenção à Saúde;851
Serviços Veterinários;852
Serviços Sociais com ou sem alojamento;853
Limpeza Urbana e Esgoto e Atividades Conexas;900
Ativ Organ Empresariais, Patron e Profiss;911
Atividades de Organizações Sindicais;912
Outras Atividades Associativas;919
Atividades Cinematográficas e de Vídeo;921
Atividades de Rádio e de Televisão;922
Outras Atividades Artísticas e de Espetáculos;923
Atividades de Agências de Notícias;924
Ativ Bibliot, Arquiv, Museus e Outr Ativ Cult;925
Atividades Desportivas e Outras Relac ao Lazer;926
Serviços Pessoais;930
Serviços Domésticos;950
Organ Internac e Outras Instit Extraterritor;990
