id;value
Metropolitana III;150760
Metropolitana III;150796
Metropolitana III;150812
Rio Caetés;150090
Rio Caetés;150160
Rio Caetés;150170
Rio Caetés;150195
Rio Caetés;150220
Rio Caetés;150500
Rio Caetés;150540
Rio Caetés;150560
Rio Caetés;150610
Rio Caetés;150611
Rio Caetés;150620
Rio Caetés;150655
Rio Caetés;150690
Rio Caetés;150747
Rio Caetés;150803
Rio Caetés;150830
Tapajós;150100
Tapajós;150360
Tapajós;150375
Tapajós;150503
Tapajós;150619
Tapajós;150805
Tocantins;150010
Tocantins;150120
Tocantins;150130
Tocantins;150210
Tocantins;150330
Tocantins;150400
Tocantins;150460
Tocantins;150470
Tocantins;150520
Xingu;150060
Xingu;150085
Xingu;150172
Xingu;150445
Xingu;150548
Xingu;150590
Xingu;150780
Xingu;150815
Xingu;150835
Marajó I;150030
Marajó I;150200
Marajó I;150250
Marajó I;150490
Marajó I;150570
Marajó I;150630
Marajó I;150640
Marajó I;150770
Marajó I;150790
Marajó II;150070
Marajó II;150110
Marajó II;150180
Marajó II;150280
Marajó II;150310
Marajó II;150450
Marajó II;150580
Município ignorado - PA;150000
Município ignorado - PA;159999
Área Central;160005
Área Central;160015
Área Central;160021
Área Central;160023
Área Central;160025
Área Central;160030
Área Central;160053
Área Norte;160010
Área Norte;160020
Área Norte;160050
Área Norte;160055
Área Norte;160070
Área Sudoeste;160027
Área Sudoeste;160040
Área Sudoeste;160060
Área Sudoeste;160080
Ignorado - AP;160000
Ignorado - AP;169999
Araguaína;170130
Araguaína;170210
Araguaína;170215
Araguaína;170300
Araguaína;170307
Araguaína;170384
Araguaína;170388
Araguaína;170650
Araguaína;170770
Araguaína;170900
Araguaína;171395
Araguaína;171488
Araguaína;171630
Araguaína;171720
Araguaína;171886
Araguaína;172208
Araguaína;172210
Augustinópolis;170030
Augustinópolis;170100
Augustinópolis;170105
Augustinópolis;170220
Augustinópolis;170255
Augustinópolis;170290
Augustinópolis;170380
Augustinópolis;170382
Augustinópolis;170389
Augustinópolis;170740
Augustinópolis;171070
Augustinópolis;171245
Augustinópolis;171280
Augustinópolis;171380
Augustinópolis;171430
Augustinópolis;171830
Augustinópolis;171855
Augustinópolis;171880
