value;cod
MEHINAKO (MEINAKU, MEINACU);0152
MEKEN (MEQUEM, MEKHEM, MICHENS);0153
MENKY (MYKY, MUNKU, MENKI, MYNKY);0154
MIRANHA (MIRANHA, MIRANA);0155
MIRITI TAPUIA (MIRITI-TAPUYA, BUIA-TAPUYA);0156
MUNDURUKU (MUNDURUCU);0157
MURA;0158
NAHUKWA (NAFUQUA);0159
NAMBIKWARA DO CAMPO (HALOTESU, KITHAULU, WAKALITES;0160
NAMBIKWARA DO NORTE (NEGAROTE ,MAMAIN­DE, LATUNDE,;0161
NAMBIKWARA DO SUL (WASUSU ,HAHAINTESU, ALANTESU, W;0162
NARAVUTE (NARUVOTO);0163
NAWA (NAUA);0164
NUKINI (NUQUINI, NUKUINI);0165
OFAIE (OFAYE-XAVANTE);0166
ORO WIN;0167
PAIAKU (JENIPAPO-KANINDE);0168
PAKAA NOVA (WARI, PACAAS NOVOS);0169
PALIKUR (AUKWAYENE, AUKUYENE, PALIKU'ENE);0170
PANARA (KRENHAKARORE , KRENAKORE, KRENA­KARORE);0171
PANKARARE (PANCARARE);0172
PANKARARU (PANCARARU);0173
PANKARARU KALANKO (KALANKO);0174
PANKARARU KARUAZU (KARUAZU);0175
PANKARU (PANCARU);0176
PARAKANA (PARACANA, APITEREWA, AWAETE);0177
PARECI (PARESI, HALITI);0178
PARINTINTIN;0179
PATAMONA (KAPON);0180
PATAXO;0181
PATAXO HA-HA-HAE;0182
PAUMARI (PALMARI);0183
PAUMELENHO;0184
PIRAHA (MURA PIRAHA);0185
PIRATUAPUIA (PIRATAPUYA, PIRATAPUYO, PIRA­TAPUYA,;0186
PITAGUARI;0187
POTIGUARA;0188
POYANAWA (POIANAUA);0189
RIKBAKTSA (CANOEIROS, ERIGPAKTSA);0190
SAKURABIAT (MEKENS, SAKIRABIAP, SAKIRABIAR);0191
SATERE-MAWE (SATERE-MAUE);0192
SHANENAWA (KATUKINA);0193
SIRIANO (SIRIA-MASA);0194
SURIANA;0195
SURUI DE RONDONIA (PAITER);0196
SURUI DO PARA (AIKEWARA);0197
SUYA (SUIA/KISEDJE);0198
TAPAYUNA (BEICO-DE-PAU);0199
TAPEBA;0200
TAPIRAPE (TAPI'IRAPE);0201
TAPUIA (TAPUIA-XAVANTE, TAPUIO);0202
TARIANO (TARIANA, TALIASERI);0203
TAUREPANG (TAULIPANG, PEMON, AREKUNA, PA­GEYN);0204
TEMBE;0205
TENHARIM;0206
TERENA;0207
TICUNA (TIKUNA, TUKUNA, MAGUTA);0208
TINGUI BOTO;0209
TIRIYO EWARHUYANA (TIRIYO, TRIO, TARONA, YAWI, PIA;0210
TIRIYO KAH'YANA (TIRIYO, TRIO, TARONA, YAWI, PIANO;0211
TIRIYO TSIKUYANA (TIRIYO, TRIO, TARONA, YAWI, PIAN;0212
TORA;0213
TREMEMBE;0214
TRUKA;0215
TRUMAI;0216
TSOHOM DJAPA (TSUNHUM-DJAPA);0217
TUKANO (TUCANO, YE'PA-MASA, DASEA);0218
TUMBALALA;0219
TUNAYANA;0220
TUPARI;0221
TUPINAMBA;0222
TUPINIQUIM;0223
TURIWARA;0224
TUXA;0225
TUYUKA (TUIUCA, DOKAPUARA, UTAPINOMAKA­PHONA);0226
TXIKAO (TXICAO, IKPENG);0227
UMUTINA (OMOTINA, BARBADOS);0228
URU-EU-WAU-WAU (URUEU-UAU-UAU, URUPAIN, URUPA);0229
WAI WAI HIXKARYANA (HIXKARYANA);0230
WAI WAI KARAFAWYANA (KARAFAWYANA, KARA­PAWYANA);0231
WAI WAI XEREU (XEREU);0232
WAI WAI KATUENA (KATUENA);0233
WAI WAI MAWAYANA (MAWAYANA);0234
WAIAPI (WAYAMPI, OYAMPI, WAYAPY, );0235
WAIMIRI ATROARI (KINA);0236
WANANO (UANANO, WANANA);0237
WAPIXANA (UAPIXANA, VAPIDIANA, WAPISIANA, WAPISHAN;0238
WAREKENA (UAREQUENA, WEREKENA);0239
WASSU;0240
WAURA (UAURA, WAUJA);0241
